RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,7,5,6,,6.00E+00,5,5,3.00E+00,,,,,,,,,,
,,4,3,3,,5.00E+00,4,2,5.00E+00,,,,,,,,,,
,,6,7,8,,9.00E+00,7,4,8.00E+00,,,,,,,,,,
,,5,4,4,,5.00E+00,4,1,3.00E+00,,,,,,,,,,
,,5,5,5,,6.00E+00,6,4,5.00E+00,,,,,,,,,,
,,6,2,3,,6.00E+00,4,2,5.00E+00,,,,,,,,,,
,,5,7,6,,5.00E+00,6,3,4.00E+00,,,,,,,,,,
,,4,9,8,,9.00E+00,5,6,8.00E+00,,,,,,,,,,
,,6,4,5,,5.00E+00,4,6,6.00E+00,,,,,,,,,,
,,5,4,5,,8.00E+00,8,5,6.00E+00,,,,,,,,,,
,,6,5,8,,6.00E+00,8,4,7.00E+00,,,,,,,,,,
,,6,6,8,,6.00E+00,4,6,4.00E+00,,,,,,,,,,
,,5,6,8,,9.00E+00,5,4,7.00E+00,,,,,,,,,,
,,7,7,6,,6.00E+00,7,6,6.00E+00,,,,,,,,,,
,,5,4,7,,4.00E+00,5,3,4.00E+00,,,,,,,,,,
,,5,6,9,,8.00E+00,7,6,3.00E+00,,,,,,,,,,
,,5,6,4,,4.00E+00,5,4,7.00E+00,,,,,,,,,,
,,6,5,4,,5.00E+00,5,3,3.00E+00,,,,,,,,,,
,,8,5,9,,7.00E+00,9,5,6.00E+00,,,,,,,,,,
,,5,4,5,,8.00E+00,5,4,4.00E+00,,,,,,,,,,
,,8,4,6,,6.00E+00,8,6,4.00E+00,,,,,,,,,,
,,6,5,9,,7.00E+00,6,4,5.00E+00,,,,,,,,,,
,,8,6,6,,7.00E+00,7,3,8.00E+00,,,,,,,,,,
,,4,7,7,,8.00E+00,7,5,1.00E+01,,,,,,,,,,
,,6,7,6,,1.10E+01,7,8,4.00E+00,,,,,,,,,,
,,5,4,3,,6.00E+00,3,2,3.00E+00,,,,,,,,,,
,,7,4,5,,6.00E+00,7,4,5.00E+00,,,,,,,,,,
,,6,4,8,,7.00E+00,4,4,3.00E+00,,,,,,,,,,
,,7,7,6,,1.00E+01,6,5,7.00E+00,,,,,,,,,,
,,4,2,3,,6.00E+00,4,4,5.00E+00,,,,,,,,,,
,,10,4,10,,6.00E+00,5,8,6.00E+00,,,,,,,,,,
,,6,4,4,,9.00E+00,4,4,7.00E+00,,,,,,,,,,
,,5,4,8,,6.00E+00,6,6,6.00E+00,,,,,,,,,,
,,6,5,8,,8.00E+00,4,7,8.00E+00,,,,,,,,,,
,,6,6,6,,9.00E+00,5,6,5.00E+00,,,,,,,,,,
,,4,5,7,,6.00E+00,4,5,6.00E+00,,,,,,,,,,
,,9,6,6,,8.00E+00,6,6,6.00E+00,,,,,,,,,,
,,6,5,6,,9.00E+00,3,6,4.00E+00,,,,,,,,,,
,,5,5,4,,7.00E+00,6,4,3.00E+00,,,,,,,,,,
,,4,5,5,,5.00E+00,4,5,6.00E+00,,,,,,,,,,
,,6,4,5,,5.00E+00,4,4,5.00E+00,,,,,,,,,,
,,5,2,2,,4.00E+00,2,3,4.00E+00,,,,,,,,,,
,,5,6,6,,9.00E+00,3,4,6.00E+00,,,,,,,,,,
,,5,4,3,,4.00E+00,5,4,4.00E+00,,,,,,,,,,
,,4,3,3,,5.00E+00,5,3,3.00E+00,,,,,,,,,,
,,10,7,10,,9.00E+00,7,10,1.00E+01,,,,,,,,,,
,,6,6,6,,9.00E+00,5,4,4.00E+00,,,,,,,,,,
,,5,4,6,,6.00E+00,5,3,6.00E+00,,,,,,,,,,
,,7,7,6,,9.00E+00,11,3,5.00E+00,,,,,,,,,,
,,4,3,4,,6.00E+00,2,4,7.00E+00,,,,,,,,,,
,,9,5,8,,9.00E+00,7,4,4.00E+00,,,,,,,,,,
,,8,4,6,,1.10E+01,10,7,5.00E+00,,,,,,,,,,
,,5,3,5,,5.00E+00,4,4,2.00E+00,,,,,,,,,,
,,7,2,5,,6.00E+00,6,3,5.00E+00,,,,,,,,,,
,,5,2,6,,5.00E+00,5,6,7.00E+00,,,,,,,,,,
,,4,5,4,,7.00E+00,7,3,6.00E+00,,,,,,,,,,
,,7,3,6,,8.00E+00,2,4,4.00E+00,,,,,,,,,,
,,7,6,7,,6.00E+00,5,4,5.00E+00,,,,,,,,,,
,,4,2,4,,5.00E+00,4,5,3.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,4,3,4.00E+00,,,,,,,,,,
,,6,4,5,,8.00E+00,8,3,4.00E+00,,,,,,,,,,
,,13,7,8,,1.20E+01,8,9,5.00E+00,,,,,,,,,,
,,9,6,6,,8.00E+00,4,5,7.00E+00,,,,,,,,,,
,,8,7,7,,1.00E+01,8,4,5.00E+00,,,,,,,,,,
,,4,2,6,,4.00E+00,4,2,6.00E+00,,,,,,,,,,
,,6,6,6,,1.00E+01,6,5,5.00E+00,,,,,,,,,,
,,5,6,6,,7.00E+00,5,3,4.00E+00,,,,,,,,,,
,,8,4,5,,8.00E+00,6,5,5.00E+00,,,,,,,,,,
,,3,4,6,,1.00E+01,6,6,4.00E+00,,,,,,,,,,
,,7,5,4,,6.00E+00,6,2,4.00E+00,,,,,,,,,,
,,5,4,5,,8.00E+00,5,2,4.00E+00,,,,,,,,,,
,,5,2,5,,6.00E+00,2,4,4.00E+00,,,,,,,,,,
,,8,4,3,,7.00E+00,7,5,8.00E+00,,,,,,,,,,
,,6,5,6,,5.00E+00,6,5,9.00E+00,,,,,,,,,,
,,4,5,3,,9.00E+00,4,6,2.00E+00,,,,,,,,,,
,,5,4,7,,5.00E+00,7,5,7.00E+00,,,,,,,,,,
,,5,6,4,,9.00E+00,4,4,6.00E+00,,,,,,,,,,
,,4,5,6,,7.00E+00,7,5,8.00E+00,,,,,,,,,,
,,4,6,5,,5.00E+00,4,3,5.00E+00,,,,,,,,,,
,,6,4,4,,7.00E+00,7,4,4.00E+00,,,,,,,,,,
,,7,5,10,,9.00E+00,10,7,6.00E+00,,,,,,,,,,
,,5,4,4,,3.00E+00,4,5,4.00E+00,,,,,,,,,,
,,9,6,5,,8.00E+00,7,5,1.00E+01,,,,,,,,,,
,,7,6,6,,7.00E+00,7,4,7.00E+00,,,,,,,,,,
,,6,5,6,,5.00E+00,4,3,5.00E+00,,,,,,,,,,
